,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.7461519,0.87650317,0.39215687,0.7338
1,100,0.6712722,0.51446635,0.802,0.8387
2,150,0.4979943,0.46542522,0.8412,0.8671
3,200,0.50057733,0.43422467,0.8536,0.8704
4,250,0.47463208,0.58864385,0.8684,0.8496
5,300,0.5829166,0.5265769,0.83,0.8446
6,350,0.51757413,0.91179514,0.8552,0.748
7,400,0.44472596,0.47745335,0.8704,0.8526
8,450,0.4095828,0.56868464,0.8888,0.8405
9,500,0.45266286,0.37243056,0.8652,0.885
10,550,0.33642727,0.32538354,0.8944,0.9036
11,600,0.31736052,0.30824298,0.9012,0.9087
12,650,0.31253627,0.3218064,0.914,0.907
13,700,0.24459724,0.2859475,0.9268,0.9103
14,750,0.28315142,0.27434483,0.9168,0.9164
15,800,0.25672302,0.29760844,0.9196,0.9095
16,850,0.24474722,0.26143515,0.9296,0.9166
17,900,0.24286902,0.3629522,0.9232,0.8844
18,950,0.23495327,0.18152575,0.9284,0.9452
19,1000,0.24195355,0.24453308,0.9232,0.9276
20,1050,0.22819076,0.17227124,0.9324,0.9492
21,1100,0.24415155,0.23131044,0.9252,0.9254
22,1150,0.18504217,0.18392996,0.9408,0.9461
23,1200,0.14067788,0.3107694,0.9576,0.9108
24,1250,0.22516306,0.21406655,0.938,0.9331
25,1300,0.1736254,0.20764776,0.9504,0.9406
26,1350,0.19465992,0.15033683,0.9396,0.9559
27,1400,0.18937269,0.15672313,0.9412,0.9534
28,1450,0.16798559,0.17953077,0.9436,0.9431
29,1500,0.18060666,0.13470481,0.9472,0.9594
30,1550,0.14878862,0.16057092,0.9524,0.9533
31,1600,0.15392745,0.15260999,0.9556,0.9524
32,1650,0.18156247,0.20365046,0.9468,0.9333
33,1700,0.15151966,0.15287136,0.9516,0.9545
34,1750,0.15243042,0.11468219,0.952,0.9631
35,1800,0.16318789,0.13378957,0.9504,0.9587
36,1850,0.15230355,0.119965255,0.954,0.9645
37,1900,0.1111506,0.139951,0.968,0.9592
38,1950,0.14107484,0.11401029,0.9616,0.9625
39,2000,0.1344327,0.13538003,0.9572,0.957
40,2050,0.13596766,0.116889484,0.9612,0.9637
41,2100,0.10949202,0.11276682,0.968,0.9639
42,2150,0.12533996,0.1291827,0.9592,0.962
43,2200,0.1347559,0.10178927,0.9552,0.9682
44,2250,0.12629937,0.09665366,0.9684,0.9692
45,2300,0.11446411,0.09430749,0.9684,0.9715
46,2350,0.087286234,0.08608494,0.97,0.9728
47,2400,0.077641316,0.09269902,0.9816,0.9705
48,2450,0.0939435,0.08643664,0.9716,0.9709
49,2500,0.092837036,0.08057909,0.9772,0.9749
50,2550,0.10040388,0.08362776,0.9724,0.9736
51,2600,0.085728675,0.08429763,0.9744,0.9728
52,2650,0.08202675,0.0948159,0.974,0.9696
53,2700,0.09137011,0.075656354,0.9724,0.9748
54,2750,0.07353317,0.076444805,0.976,0.9746
55,2800,0.07534868,0.07387369,0.9796,0.9758
56,2850,0.07104611,0.073030226,0.9804,0.9765
57,2900,0.06626506,0.07312423,0.9792,0.9765
58,2950,0.08858759,0.07279978,0.9724,0.9768
59,3000,0.082427725,0.07269062,0.9742857,0.9764
