,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.8786381,1.2113883,0.33137253,0.6017
1,100,0.75202495,0.5988681,0.768,0.82610005
2,150,0.5472519,0.6792486,0.8292,0.81810004
3,200,0.58742553,0.50823,0.83320004,0.8511
4,250,0.59237826,0.7347683,0.82960004,0.78180003
5,300,0.6873207,0.53009003,0.78880006,0.83930004
6,350,0.5115823,0.3792779,0.8468,0.8899
7,400,0.46362653,0.41746855,0.86240005,0.87110007
8,450,0.37728804,0.49470642,0.88920003,0.86230004
9,500,0.43739218,0.46686882,0.87000006,0.864
10,550,0.36267248,0.33009604,0.88680005,0.89980006
11,600,0.4087183,0.30626372,0.8784,0.90550005
12,650,0.38415554,0.38067278,0.8888,0.87610006
13,700,0.3099801,0.31490466,0.9136,0.9006
14,750,0.28591534,0.34857878,0.9132,0.88900006
15,800,0.31680593,0.4706168,0.89760005,0.8758
16,850,0.35189712,0.31919044,0.89800006,0.90080005
17,900,0.29664984,0.24475177,0.9168,0.92210007
18,950,0.2734585,0.20947643,0.9172,0.93630004
19,1000,0.26795402,0.2879625,0.91400003,0.9056001
20,1050,0.27050188,0.24677353,0.92120004,0.92600006
21,1100,0.2691128,0.20638755,0.92160004,0.9376
22,1150,0.207299,0.22519605,0.93600005,0.934
23,1200,0.1581651,0.30882052,0.95360005,0.90650004
24,1250,0.20161742,0.20381811,0.9412,0.93540007
25,1300,0.20937712,0.19954485,0.93840003,0.9387
26,1350,0.2153159,0.1625425,0.93600005,0.95030004
27,1400,0.210195,0.19742942,0.9408001,0.93840003
28,1450,0.26141387,0.22424187,0.92480004,0.9319
29,1500,0.24514201,0.18040618,0.92520005,0.94430006
30,1550,0.2020313,0.1987092,0.93640006,0.9337
31,1600,0.16819596,0.19250846,0.9524,0.94130003
32,1650,0.18751979,0.16911778,0.94240004,0.94780004
33,1700,0.15482925,0.16793714,0.952,0.9484
34,1750,0.16832046,0.190327,0.94960004,0.94430006
35,1800,0.16737379,0.15915547,0.94320005,0.95250005
36,1850,0.17723604,0.16519168,0.94360006,0.95080006
37,1900,0.13783932,0.1644641,0.95960003,0.9534
38,1950,0.16964826,0.12202369,0.95000005,0.9621
39,2000,0.17082202,0.15636615,0.9448,0.95370007
40,2050,0.1441558,0.12988196,0.9516001,0.96070004
41,2100,0.13795596,0.12242506,0.95760006,0.9617
42,2150,0.13611203,0.117153354,0.9584001,0.96430004
43,2200,0.14823826,0.12219279,0.95360005,0.96510005
44,2250,0.12964101,0.11609248,0.9620001,0.96430004
45,2300,0.12956949,0.10067088,0.9584001,0.96940005
46,2350,0.107122295,0.10200889,0.9656001,0.96880007
47,2400,0.06330076,0.109397374,0.98560005,0.96580005
48,2450,0.094334394,0.101317614,0.97040004,0.97010005
49,2500,0.097229145,0.09580547,0.97240007,0.9703
50,2550,0.110568576,0.09633341,0.96720004,0.9717001
51,2600,0.10261863,0.09422423,0.96880007,0.97110003
52,2650,0.108786255,0.10355251,0.96880007,0.96880007
53,2700,0.11603237,0.092300095,0.96400005,0.9725
54,2750,0.10352213,0.09067275,0.97040004,0.97200006
55,2800,0.08585024,0.08877895,0.97520006,0.97260004
56,2850,0.100879855,0.08810989,0.97,0.97260004
57,2900,0.07770319,0.08767426,0.97560006,0.97300005
58,2950,0.0957341,0.08720783,0.97120005,0.97360003
59,3000,0.08280816,0.08751089,0.9730612,0.97300005
