,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.1930678,1.8270495,0.2035294,0.3952
1,100,1.3458215,1.0254685,0.5504,0.666
2,150,0.85157406,0.86464405,0.7152,0.73310006
3,200,0.8942025,0.71626407,0.71680003,0.76960003
4,250,0.6817921,0.7108589,0.78040004,0.77820003
5,300,0.7057253,0.6369823,0.7688,0.78950006
6,350,0.6111571,0.47964886,0.8116,0.84940004
7,400,0.6230418,0.8783644,0.8036,0.7393
8,450,0.65269834,0.6741856,0.78760004,0.8069
9,500,0.7009052,0.68242455,0.7868,0.78470004
10,550,0.57958674,0.5028846,0.8248,0.8485
11,600,0.5600088,0.51550627,0.82960004,0.84250003
12,650,0.6839317,0.6058438,0.7964,0.81420004
13,700,0.5322918,0.47376183,0.83440006,0.85760003
14,750,0.5505991,0.5763535,0.836,0.82290006
15,800,0.5874473,0.53113025,0.80880004,0.8367
16,850,0.50034106,0.44944382,0.84040004,0.8604
17,900,0.4934785,0.559524,0.8424,0.81960005
18,950,0.47299555,0.48136902,0.85760003,0.8597
19,1000,0.5352192,0.4851018,0.8388,0.84090006
20,1050,0.50214505,0.4464621,0.8424,0.8615
21,1100,0.49022442,0.5279335,0.86,0.83280003
22,1150,0.3621993,0.43578067,0.88280004,0.86060005
23,1200,0.3752687,0.59338313,0.89720005,0.82240003
24,1250,0.462926,0.43953204,0.8676,0.85950005
25,1300,0.4583051,0.45150104,0.8608,0.8593
26,1350,0.44358966,0.43891606,0.8712,0.87270004
27,1400,0.4685856,0.43996498,0.85760003,0.86270005
28,1450,0.43816635,0.42300624,0.87240005,0.86810005
29,1500,0.45441455,0.48612624,0.86520004,0.84830004
30,1550,0.44791174,0.4040657,0.86480004,0.87710005
31,1600,0.41470283,0.38574234,0.87960005,0.8827
32,1650,0.39004865,0.37316692,0.89360005,0.8902
33,1700,0.43344292,0.37596962,0.8748,0.88400006
34,1750,0.38945818,0.37119898,0.87880003,0.88920003
35,1800,0.4392528,0.3605666,0.86480004,0.89040005
