,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.7408416,0.9220699,0.5494118,0.68950003
1,100,0.6839887,0.58997065,0.786,0.818
2,150,0.5369019,0.4428373,0.84840006,0.86910003
3,200,0.48021036,0.46489668,0.846,0.84800005
4,250,0.48093128,0.54530334,0.85480005,0.84020007
5,300,0.46466178,0.37112704,0.85600007,0.88920003
6,350,0.41926274,0.378438,0.87720007,0.88080007
7,400,0.40190473,0.4299619,0.88240004,0.8651
8,450,0.40206686,0.44553146,0.88240004,0.88030005
9,500,0.43816534,0.48878387,0.8676,0.84550005
10,550,0.35248646,0.35257155,0.89840007,0.8902
11,600,0.38216853,0.30705804,0.8848,0.90550005
12,650,0.3358795,0.40803218,0.90080005,0.8956
13,700,0.3177461,0.2546632,0.90800005,0.91880006
14,750,0.3230509,0.34176612,0.9128,0.897
15,800,0.33836704,0.27524498,0.89120007,0.91600007
16,850,0.2776628,0.30517527,0.92240006,0.90630007
17,900,0.29639935,0.32704735,0.91480005,0.9014
18,950,0.31212997,0.2592723,0.90520006,0.92030007
19,1000,0.3483142,0.36956325,0.89640003,0.8859
20,1050,0.2808094,0.27518925,0.91880006,0.9218
21,1100,0.29707292,0.27723387,0.9128,0.91980004
22,1150,0.2245805,0.23666628,0.92920005,0.92770004
23,1200,0.20276716,0.34073094,0.9480001,0.89860004
24,1250,0.27193576,0.25240147,0.92920005,0.9146
25,1300,0.24700992,0.3232647,0.92560005,0.9057
26,1350,0.30157253,0.23388141,0.9132,0.9315
27,1400,0.2902189,0.2874511,0.9164,0.91420007
28,1450,0.31466416,0.28256398,0.9056001,0.91220003
29,1500,0.33740205,0.26429877,0.8952,0.92050004
30,1550,0.2834797,0.2029467,0.92240006,0.9391
31,1600,0.24513605,0.2692422,0.92640007,0.91630006
32,1650,0.24986812,0.21383537,0.92440003,0.93770003
33,1700,0.26203996,0.23442031,0.9232001,0.9247
34,1750,0.2636156,0.2514067,0.92,0.92560005
35,1800,0.24743633,0.261831,0.92,0.92080003
36,1850,0.23879613,0.32114395,0.9276,0.91560006
37,1900,0.20526063,0.18418273,0.94320005,0.94470006
38,1950,0.25462607,0.3704521,0.92800003,0.8977001
39,2000,0.25230342,0.19428754,0.91920006,0.94280005
40,2050,0.20647044,0.18886045,0.93720007,0.94570005
41,2100,0.22325681,0.24419492,0.93720007,0.92310005
42,2150,0.2481537,0.3007187,0.93000007,0.9139
43,2200,0.24634418,0.2733409,0.92440003,0.91260004
44,2250,0.2282076,0.24898127,0.93160003,0.9243
45,2300,0.25313604,0.20291066,0.9236,0.93770003
46,2350,0.16326195,0.19583909,0.94720006,0.94430006
47,2400,0.18857503,0.32943076,0.95400006,0.89710003
48,2450,0.221585,0.21090606,0.9408001,0.9362
49,2500,0.20626043,0.24412479,0.9344,0.9236
50,2550,0.23410563,0.3566651,0.92480004,0.9057
51,2600,0.27888766,0.19593473,0.91760004,0.938
52,2650,0.20180759,0.30848587,0.93680006,0.90360004
53,2700,0.2388956,0.16698237,0.92640007,0.94920003
54,2750,0.19713922,0.21927276,0.9348,0.94150007
55,2800,0.18799655,0.18768136,0.95040005,0.9398
56,2850,0.16425864,0.19988547,0.9524,0.94100004
57,2900,0.22294816,0.20756581,0.93240005,0.93820006
58,2950,0.20854843,0.17881592,0.93520004,0.94330007
59,3000,0.2097411,0.22731102,0.92489797,0.9333
